,Region,Surface area,Population in thousands,Population density,Sex ratio,GDP: Gross domestic product,GDP growth rate,GDP per capita,Economy: Agriculture,Economy: Industry,Economy: Services and other activity,Employment: Agriculture,Employment: Industry,Employment: Services,Unemployment,Agricultural production index,Food production index,International trade: Exports,International trade: Imports,International trade: Balance,"Balance of payments, current account",Population growth rate,Urban population,Urban population growth rate,"Fertility rate, total",Refugees and others of concern to UNHCR,Infant mortality rate (per 1000 live births,Health: Total expenditure,Health: Physicians,Education: Government expenditure,Seats held by women in national parliaments %,Mobile-cellular subscriptions,Mobile-cellular subscriptions .1,Individuals using the Internet,Threatened species,Forested area,CO2 emission estimates,"Energy production, primary",Energy supply per capita,Pop. using improved sanitation facilities,Female labour participation,Male labour participation,Life Expectancy Female,Life Expectancy Male,Population Age 0-14,Population Age 60+,Primary Enrolment Female,Primary Enrolment Male,Secondary Enrolment Female,Secondary Enrolment Male,Tertiary Enrolment Female,Tertiary Enrolment Male,Improved Drinking Water Urban,Improved Drinking Water Rural
147,5,312679.0,38171,124.6,93.4,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,5.3,113,113,196455.0,188518.0,7937.0,-2932.0,0.0,60.5,-0.1,1.3,23.7,4.5,6.4,2.3,4.9,28.0,148.7,68.0,58,30.7,7.4,2819,102,99.3,-99.0,49.1,64.9,81.0,72.9,14.8,24.0,100.7,100.5,106.1,110.0,82.6,54.2,97.5,96.7
148,18,92226.0,10330,112.8,89.8,199122,1.6,19239.2,2.3,22.3,75.4,8.0,23.8,68.2,10.5,104,104,55658.0,67580.0,-11922.0,842.0,-0.4,63.5,1.0,1.3,1.8,2.9,9.5,4.4,5.1,34.8,110.4,68.6,281,34.9,4.3,250,84,100.0,-99.0,53.3,63.7,83.5,77.3,13.6,27.9,105.3,109.4,117.3,121.0,65.7,58.0,99.6,99.8
149,0,8868.0,3663,413.0,92.6,102906,0.0,27939.0,0.8,50.0,49.1,2.0,17.5,80.5,12.8,110,111,-99.0,-99.0,-99.0,-99.0,-0.2,93.6,-0.2,1.5,-99.0,6.3,-99.0,-99.0,6.4,-99.0,87.1,79.5,126,55.5,0.0,1,16,0.0,-99.0,34.4,51.7,83.2,75.2,17.9,20.4,90.4,89.1,83.9,78.8,98.8,70.1,99.3,99.3
150,20,11607.0,2639,227.3,301.2,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,0.3,154,154,57254.0,32058.0,25196.0,13751.0,6.6,99.2,6.0,2.0,1.5,7.2,2.2,2.0,3.6,0.0,153.6,92.9,39,0.0,49.7,9166,846,100.0,-99.0,53.1,93.6,79.4,76.8,13.9,2.8,103.6,102.4,103.6,82.0,43.9,6.3,98.0,98.0
151,4,100284.0,50982,524.3,100.2,1377873,2.6,27396.7,2.3,38.0,59.7,5.0,24.7,70.3,3.6,104,104,495418.0,406182.0,89236.0,105871.0,0.4,82.5,0.7,1.2,8.0,3.0,7.4,2.2,5.1,17.0,118.5,89.9,111,63.5,11.7,2023,223,99.7,-99.0,50.2,71.9,84.4,77.9,13.5,20.1,98.7,99.3,98.4,99.3,80.2,104.8,100.0,100.0
152,5,33846.0,4051,123.3,92.2,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,5.0,109,109,2045.0,4020.0,-1975.0,-415.0,-0.1,45.0,-0.7,1.3,5.5,14.3,10.3,2.5,7.5,22.8,108.0,49.8,35,12.3,1.2,15,23,96.9,4.49,39.1,46.5,75.2,66.7,15.7,17.6,91.9,92.9,86.5,85.8,47.4,35.3,87.8,67.1
153,5,238391.0,19679,85.5,94.0,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,7.1,100,100,63581.0,74605.0,-11024.0,-2096.0,-0.6,54.6,0.0,1.5,3.2,8.7,5.6,2.7,3.1,20.7,107.1,55.8,104,29.5,3.6,1109,68,100.0,-99.0,47.3,64.5,78.4,71.4,15.3,24.9,89.0,90.5,92.0,92.5,59.0,47.8,92.2,63.3
154,5,17098246.0,143990,8.8,86.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,5.8,120,120,285491.0,182257.0,103234.0,69000.0,0.1,74.0,-0.1,1.7,418.4,8.3,7.1,3.3,3.9,15.8,160.0,73.4,235,49.8,11.9,54829,208,98.9,-99.0,56.3,71.3,75.9,64.7,17.6,21.1,100.9,100.1,103.4,105.5,88.3,72.9,77.0,58.7
155,3,26338.0,12208,494.9,96.2,8096,6.9,697.3,34.6,15.1,50.3,75.0,7.2,17.8,2.4,139,139,622.0,1778.0,-1157.0,-1099.0,2.5,28.8,6.4,4.2,155.1,44.0,7.5,0.0,3.6,61.3,70.5,18.0,62,19.2,0.1,84,8,86.6,13.67,86.1,83.3,67.1,63.1,40.1,4.9,133.4,131.7,38.2,35.2,6.9,9.1,58.5,62.9
156,19,308.0,4,10.4,-99.0,-99,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,-99,-99,0.0,48.0,-48.0,-99.0,-0.7,39.4,-0.6,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,30.7,37.6,100,5.1,3.1,0,41,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,0.0
